"Country.Name","Income.Group","Region","Time","Time.Code","Agriculture..forestry..and.fishing..value.added....of.GDP...NV.AGR.TOTL.ZS.","Access.to.clean.fuels.and.technologies.for.cooking....of.population...EG.CFT.ACCS.ZS.","Access.to.electricity....of.population...EG.ELC.ACCS.ZS.","Account.ownership.at.a.financial.institution.or.with.a.mobile.money.service.provider....of.population.ages.15....FX.OWN.TOTL.ZS.","Adequacy.of.social.insurance.programs....of.total.welfare.of.beneficiary.households...per_si_allsi.adq_pop_tot.","Adequacy.of.social.protection.and.labor.programs....of.total.welfare.of.beneficiary.households...per_allsp.adq_pop_tot.","Adequacy.of.social.safety.net.programs....of.total.welfare.of.beneficiary.households...per_sa_allsa.adq_pop_tot.","Adequacy.of.unemployment.benefits.and.ALMP....of.total.welfare.of.beneficiary.households...per_lm_alllm.adq_pop_tot.","Adjusted.net.national.income..current.US....NY.ADJ.NNTY.CD.","Adjusted.net.national.income..annual...growth...NY.ADJ.NNTY.KD.ZG.","Adjusted.net.national.income.per.capita..current.US....NY.ADJ.NNTY.PC.CD.","Adolescent.fertility.rate..births.per.1.000.women.ages.15.19...SP.ADO.TFRT.","Adolescents.out.of.school....of.lower.secondary.school.age...SE.SEC.UNER.LO.ZS.","Age.dependency.ratio....of.working.age.population...SP.POP.DPND.","Agricultural.land..sq..km...AG.LND.AGRI.K2.","Air.transport..passengers.carried..IS.AIR.PSGR.","Air.transport..freight..million.ton.km...IS.AIR.GOOD.MT.K1.","Arable.land..hectares.per.person...AG.LND.ARBL.HA.PC.","Tax.revenue....of.GDP...GC.TAX.TOTL.GD.ZS.","GDP..current.US....NY.GDP.MKTP.CD.","GDP.per.capita..current.US....NY.GDP.PCAP.CD.","Women.Business.and.the.Law.Index.Score..scale.1.100...SG.LAW.INDX.","Time.required.to.start.a.business..days...IC.REG.DURS.","Domestic.general.government.health.expenditure.per.capita..current.US....SH.XPD.GHED.PC.CD.","Domestic.private.health.expenditure.per.capita..current.US....SH.XPD.PVTD.PC.CD.","External.health.expenditure.per.capita..current.US....SH.XPD.EHEX.PC.CD.","Women.making.their.own.informed.decisions.regarding.sexual.relations..contraceptive.use.and.reproductive.health.care.....of.women.age.15.49...SG.DMK.SRCR.FN.ZS.","Women.participating.in.the.three.decisions..own.health.care..major.household.purchases..and.visiting.family.....of.women.age.15.49...SG.DMK.ALLD.FN.ZS.","CO2.emissions..metric.tons.per.capita...EN.ATM.CO2E.PC.","CO2.emissions..kt...EN.ATM.CO2E.KT.","CO2.emissions.from.liquid.fuel.consumption..kt...EN.ATM.CO2E.LF.KT.","CO2.emissions.from.gaseous.fuel.consumption..kt...EN.ATM.CO2E.GF.KT.","CO2.emissions.from.solid.fuel.consumption..kt...EN.ATM.CO2E.SF.KT.","Methane.emissions..kt.of.CO2.equivalent...EN.ATM.METH.KT.CE.","Adjusted.savings..carbon.dioxide.damage..current.US....NY.ADJ.DCO2.CD.","Total.greenhouse.gas.emissions..kt.of.CO2.equivalent...EN.ATM.GHGT.KT.CE.","Nitrous.oxide.emissions..thousand.metric.tons.of.CO2.equivalent...EN.ATM.NOXE.KT.CE.","Individuals.using.the.Internet....of.population...IT.NET.USER.ZS.","Lending.interest.rate......FR.INR.LEND.","International.tourism..number.of.arrivals..ST.INT.ARVL.","International.tourism..number.of.departures..ST.INT.DPRT.","Customs.and.other.import.duties....of.tax.revenue...GC.TAX.IMPT.ZS.","Share.of.tariff.lines.with.international.peaks..all.products......TM.TAX.MRCH.IP.ZS.","Tariff.rate..applied..simple.mean..all.products......TM.TAX.MRCH.SM.AR.ZS.","Taxes.on.exports....of.tax.revenue...GC.TAX.EXPT.ZS.","Taxes.on.goods.and.services....of.revenue...GC.TAX.GSRV.RV.ZS.","Taxes.on.income..profits.and.capital.gains....of.revenue...GC.TAX.YPKG.RV.ZS.","Total.tax.and.contribution.rate....of.profit...IC.TAX.TOTL.CP.ZS.","Birth.rate..crude..per.1.000.people...SP.DYN.CBRT.IN.","by","Country.Code...53"
"ALB","Lower Middle-Income","Europe & Central Asia",2016,"YR2016","19.84997641","77.42","100","..","..","..","..","..","9824917755","3.358988086","3416.054497","19.8596","5.17389","45.64503371","11816.99951","26634","..","0.215673924","17.59022826","11861353752","4124.108907","85.6","5","177.7584991","..","0.966198504","..","..","..","..","..","..","..","..","191350475.5","..","..","66.3634447","9.654166667","4070000","4852000","2.369202807","5.376235","1.44","..","55.92681301","11.48171936","36.9","12.08","Country.Code","ALB"
"ALB","Lower Middle-Income","Europe & Central Asia",2017,"YR2017","19.01432927","..","100","40.01517105","..","..","..","..","10558503175","1.501669473","3674.494929","19.642","6.07264","45.68209749","..","204090","..","..","18.8797444","13025064967","4532.890162","91.3","5","190.114563","..","1.060219646","..","..","..","..","..","..","..","..","208913840.7","..","..","71.8470405","6.593333333","4643000","5186000","2.216459109","6.842105","1.22","..","53.29478882","15.53039227","37.3","11.934","Country.Code","ALB"
"ALB","Upper Middle-Income","Europe & Central Asia",2018,"YR2018","18.42388388","..","100","..","..","..","..","..","12006381959","..","4188.697491","19.5724","3.0568","45.81003739","..","303137","..","..","18.61217972","15102500898","5268.848504","91.3","4.5","..","..","..","69","83.7","..","..","..","..","..","..","230002239.8","..","..","..","5.9325","5340000","5415000","2.048095694","0","1.47","..","53.13271925","16.68116194","37.3","11.78","Country.Code","ALB"
"DZA","Lower Middle-Income","Middle East & North Africa",1990,"YR1990","..","..","..","..","..","..","..","..","48140157890","2.537616727","1868.877003","27.8012","..","87.64612874","386760","3748000","14.60000038","0.27489561","..","62045099643","2408.688815","38.1","..","..","..","..","..","..","2.988109843","76970.33","23223.111","38939.873","2944.601","32299.4","677273007.9","106445.8175","4256.176","0","8","..","..","..","..","..","..","..","..","..","32.13","Country.Code","DZA"
"DZA","Lower Middle-Income","Middle East & North Africa",2000,"YR2000","8.396391153","86.47","..","..","..","..","..","..","39871271083","17.97117249","1284.420116","11.7556","..","63.05268003","400210","2997480","12.647","0.246825011","..","54786074940","1764.888222","40.6","..","44.11566925","17.15523338","0.031992141","..","..","2.830379965","87861.32","30890.808","39742.946","1969.179","45052.6","1274057035","133778.197","4602.787","0.491705679","10","866000","1006000","..","..","..","..","..","..","..","19.554","Country.Code","DZA"
"DZA","Lower Middle-Income","Middle East & North Africa",2010,"YR2010","8.466901279","92.41","98.87762451","..","..","..","..","..","1.22E+11","14.7416052","3401.262749","10.8084","..","48.67453557","413740","3372283","15.906","0.208519474","..","1.61E+11","4480.724539","55","22","158.6969147","69.638237","0.064392559","..","..","3.312560602","119177.5","45401.127","53409.855","1217.444","47575.5","2858946559","167674.633","6256.885","12.5","8","2070000","1757000","..","..","..","..","..","..","72.5","24.504","Country.Code","DZA"
"DZA","Lower Middle-Income","Middle East & North Africa",2011,"YR2011","8.110386806","92.49","99.04978943","33.28611374","..","..","..","..","1.45E+11","1.551821398","3959.494098","11.1822","..","49.21309473","413880","3543663","14.826","0.204629147","..","2.00E+11","5455.741338","55","22","202.0945282","84.02244568","0.035002265","..","..","3.30557127","121187.016","46959.602","56768.827","1048.762","48051.255","3056911475","172303.5092","6319.45385","14.9","8","2395000","1715000","..","..","..","..","..","..","72.5","24.934","Country.Code","DZA"
"DZA","Lower Middle-Income","Middle East & North Africa",2012,"YR2012","8.770566136","92.47","98.76466047","..","..","..","..","..","1.52E+11","7.618208344","4054.200194","11.556","..","49.77822268","413981.9141","4082595","14.926","0.200795064","..","2.09E+11","5592.326098","55","22","243.5381927","90.29161072","0.106845051","..","..","3.477108092","129987.816","48580.416","64168.833","1037.761","48527.01","3442060659","176471.2268","6382.0227","18.2","8","2634000","1911000","..","..","..","..","..","..","72.4","25.246","Country.Code","DZA"
"DZA","Lower Middle-Income","Middle East & North Africa",2013,"YR2013","9.85109233","92.83","99.53858185","..","..","..","..","..","1.54E+11","3.476211048","4040.916117","11.259","..","50.49721717","414316.4063","4492436.963","17.50241863","0.196543635","..","2.10E+11","5499.581487","55","22","234.6187744","95.54005432","0.064820707","..","..","3.525557358","134465.223","51961.39","65503.621","726.066","..","3731781544","..","..","22.5","8","2733000","2136000","..","..","..","..","..","..","72.3","25.451","Country.Code","DZA"
"DZA","Upper Middle-Income","Middle East & North Africa",2014,"YR2014","10.28644397","93.1","99.84082031","50.47578812","..","..","..","..","1.60E+11","3.513031477","4105.217406","10.962","..","51.50918943","414310","5021288.963","21.66233319","0.191898571","..","2.14E+11","5493.02559","55","20","257.7184143","100.0546341","0.125516847","..","..","3.735520147","145400.217","52885.474","73893.717","546.383","..","4234957777","..","..","29.5","8","2301000","2839000","..","44.97395","12.24","..","..","..","73.2","25.538","Country.Code","DZA"
"DZA","Lower Middle-Income","Middle East & North Africa",2015,"YR2015","11.57868913","92.7","99.93136597","..","..","..","..","..","1.30E+11","-0.470316362","3282.867007","10.665","..","52.8377883","414563.9844","5400896","21.90164517","0.187829627","..","1.66E+11","4177.867517","55","18","204.6868744","85.73821259","0.078490473","..","..","..","..","..","..","..","..","4606473789","..","..","38.2","8","1710000","3638000","..","45.00845","12.26","..","..","..","73.2","25.481","Country.Code","DZA"
"DZA","Lower Middle-Income","Middle East & North Africa",2016,"YR2016","12.22016044","92.62","99.99005127","..","..","..","..","..","1.33E+11","4.876278251","3272.73359","10.368","..","54.18401383","413601.9922","6093416","21.591025","0.182588011","..","1.60E+11","3946.421445","55","18","176.265213","84.09346008","0.063705951","..","..","..","..","..","..","..","..","4987635626","..","..","42.94552688","8","2039000","4530000","..","45.11365","12.24","..","..","..","66","25.25","Country.Code","DZA"
"DZA","Lower Middle-Income","Middle East & North Africa",2017,"YR2017","11.94618805","..","100","42.77662659","..","..","..","..","1.34E+11","0.780191841","3248.228442","10.071","..","55.80400147","..","6230157","24.80375","..","..","1.67E+11","4044.298372","57.5","18","170.4891205","87.94979858","0.055396255","..","..","..","..","..","..","..","..","5343205642","..","..","47.69105515","8","2451000","5058000","..","46.2756","12.32","..","..","..","66.1","24.846","Country.Code","DZA"
"DZA","Uncategorized","Middle East & North Africa",2018,"YR2018","11.97930806","..","100","..","..","..","..","..","..","..","..","9.8338","..","57.50803244","..","6442442","28.28048","..","..","1.74E+11","4114.715061","57.5","18","..","..","..","..","..","..","..","..","..","..","..","5759860268","..","..","49.03846808","8","2657000","5610000","..","33.20832","12.47","..","..","..","66.1","24.282","Country.Code","DZA"
"ASM","Uncategorized","East Asia & Pacific",1990,"YR1990","..","..","..","..","..","..","..","..","..","..","..","..","..","..","30","..","..","0.021120662","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","8.84112","5279486.326","20.3813783","0.9076583","0","..","..","..","..","..","..","..","..","..","..","..","Country.Code","ASM"
"ASM","Uncategorized","East Asia & Pacific",2000,"YR2000","..","..","..","..","..","..","..","..","..","..","..","..","..","..","48.00000191","..","..","0.043236886","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","10.5692","8700463.65","47.656033","20.870533","..","..","44000","..","..","..","..","..","..","..","..","..","Country.Code","ASM"
"ASM","Uncategorized","East Asia & Pacific",2010,"YR2010","..","..","..","..","..","..","..","..","..","..","..","..","..","..","49.00000095","49772.7887","0.009","0.053495961","..","576000000","10271.22452","..","..","..","..","..","..","..","..","..","..","..","..","12.858","14393387.47","56.6374866","23.22365","..","..","23100","..","..","..","..","..","..","..","..","18.7","Country.Code","ASM"
"ASM","Uncategorized","East Asia & Pacific",2011,"YR2011","..","..","..","..","..","..","..","..","..","..","..","..","..","..","49.00000095","50641.72277","0.00953562","0.053802974","..","574000000","10294.30227","..","..","..","..","..","..","..","..","..","..","..","..","12.98658","8982309.067","57.74350928","23.4558865","..","..","22600","..","..","..","..","..","..","..","..","..","Country.Code","ASM"
"ASM","Uncategorized","East Asia & Pacific",2012,"YR2012","..","..","..","..","..","..","..","..","..","..","..","..","..","..","49.00000095","56096.97968","0.010562811","0.053891893","..","644000000","11568.793","..","..","..","..","..","..","..","..","..","..","..","..","13.11516","9447577.459","58.76551929","23.688123","..","..","22600","..","..","..","..","..","..","..","..","..","Country.Code","ASM"
"ASM","Uncategorized","East Asia & Pacific",2013,"YR2013","..","..","..","..","..","..","..","..","..","..","..","..","..","..","49.00000095","72240","0.010932","0.053847396","..","641000000","11505.39371","..","..","..","..","..","..","..","..","..","..","..","..","..","9868898.273","..","..","..","..","20800","..","..","..","..","..","..","..","..","..","Country.Code","ASM"
"ASM","Uncategorized","East Asia & Pacific",2014,"YR2014","..","..","..","..","..","..","..","..","..","..","..","..","..","..","49.00000095","76944","0.011652","0.053772114","..","642000000","11507.23235","..","..","..","..","..","..","..","..","..","..","..","..","..","10346968.4","..","..","..","..","21600","..","..","..","..","..","..","..","..","17.5","Country.Code","ASM"
"ASM","Uncategorized","East Asia & Pacific",2015,"YR2015","..","..","..","..","..","..","..","..","..","..","..","..","..","..","49.00000095","..","..","0.053751881","..","661000000","11843.33118","..","..","..","..","..","..","..","..","..","..","..","..","..","10765280.79","..","..","..","..","20300","..","..","..","..","..","..","..","..","..","Country.Code","ASM"
"ASM","Uncategorized","East Asia & Pacific",2016,"YR2016","..","..","..","..","..","..","..","..","..","..","..","..","..","..","49.00000095","..","..","0.053820348","..","652000000","11696.95556","..","..","..","..","..","..","..","..","..","..","..","..","..","11221538.36","..","..","..","..","20100","..","..","..","..","..","..","..","..","..","Country.Code","ASM"
"ASM","Uncategorized","East Asia & Pacific",2017,"YR2017","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","602000000","10823.4448","..","..","..","..","..","..","..","..","..","..","..","..","..","10347434.03","..","..","..","..","20000","..","..","..","..","..","..","..","..","16.6","Country.Code","ASM"
"ASM","Uncategorized","East Asia & Pacific",2018,"YR2018","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","636000000","11466.69071","..","..","..","..","..","..","..","..","..","..","..","..","..","10410533.28","..","..","..","..","20200","..","..","..","..","..","..","..","..","..","Country.Code","ASM"
"AND","Uncategorized","Europe & Central Asia",1990,"YR1990","..","..","100","..","..","..","..","..","..","..","..","..","..","..","230","..","..","0.018345594","..","1029048482","18878.50597","..","..","..","..","..","..","..","7.467335669","407.037","407.037","0","0","..","3581577.126","..","0.01569282","0","..","..","..","..","..","..","..","..","..","..","11.9","Country.Code","AND"
"AND","Uncategorized","Europe & Central Asia",2000,"YR2000","0.487497832","100","100","..","..","..","..","..","..","..","..","..","..","..","230","..","..","0.015292858","..","1434429703","21936.5301","..","..","852.4205322","1198.227051","0","..","..","8.019284294","524.381","524.381","0","0","..","7603929.715","..","0.01569282","10.53883561","..","2949000","..","..","..","..","..","..","..","..","11.3","Country.Code","AND"
"AND","Uncategorized","Europe & Central Asia",2010,"YR2010","0.499694105","100","100","..","..","..","..","..","..","..","..","..","..","..","197.7000046","..","..","0.009117929","..","3355695364","39736.35406","..","..","1673.58606","2081.145264","0","..","..","6.122594702","517.047","517.047","0","0","..","12403429.69","..","0.01569282","81","..","1808000","..","..","..","..","..","..","..","..","9.8","Country.Code","AND"
